Average Loot Chests,Perfect Hunt Rate,Average Armory Chests,Armory Chest,Saver,Crystal Saver,Reinforced Crystal Saver,x2,x2 x2,Ad Saver,Want Perfect
5.201,0.003649,0E-571,False,False,False,False,False,False,False,False,5.200569239189928845101258895,0.00003648969166210545520890348476,0E-568
5.175,0.003649,0.02600,True,False,False,False,False,False,False,False,5.174566392993979177780585757,0.00003648969166210545520890348476,0.02600000000000000054123372451
5.842,0.04912,0E-577,False,True,False,False,False,False,False,False,5.841929462619117791531584635,0.0004912073877591118970429315259,0E-574
5.813,0.04912,0.02917,True,True,False,False,False,False,False,False,5.812719815306022176630548321,0.0004912073877591118970429315259,0.02916666666666666727381988326
6.068,0.007298,0E-571,False,False,True,False,False,False,False,False,6.067994891443167305236270754,0.00007297938332421091041780696952,0E-568
6.038,0.007298,0.03033,True,False,True,False,False,False,False,False,6.037654916985951441762778831,0.00007297938332421091041780696952,0.03033333333333333396477267860
6.853,0.09824,0E-605,False,True,True,False,False,False,False,False,6.853472836231456921112093525,0.0009824147755182237940858630516,0E-602
6.819,0.09824,0.03417,True,True,True,False,False,False,False,False,6.819205472050299606070999691,0.0009824147755182237940858630516,0.03416666666666666737790329182
6.936,0.01460,0E-602,False,False,True,True,False,False,False,False,6.936369275679620507206714103,0.0001459587666484218208356139391,0E-599
6.902,0.01460,0.03467,True,False,True,True,False,False,False,False,6.901687429301222373867013024,0.0001459587666484218208356139391,0.03466666666666666738831163267
7.879,0.1963,0E-609,False,True,True,True,False,False,False,False,7.879473846715226025570853157,0.001963426101357135839894460584,0E-606
7.840,0.1963,0.03917,True,True,True,True,False,False,False,False,7.840076477481649860451105744,0.001963426101357135839894460584,0.03916666666666666748198670037
5.167,0.003509,0E-575,False,False,False,False,True,False,False,False,5.167210503417399969124107054,0.00003508624198279370693163796612,0E-572
5.141,0.003509,0.02583,True,False,False,False,True,False,False,False,5.141374450900312946331462224,0.00003508624198279370693163796612,0.02583333333333333387109761088
5.830,0.06175,0E-606,False,True,False,False,True,False,False,False,5.829630307157061021508108310,0.0006175178588971692419968282042,0E-603
5.800,0.06175,0.02909,True,True,False,False,True,False,False,False,5.800482155621275690511808600,0.0006175178588971692419968282042,0.02909425287356321899645039942
6.030,0.007017,0E-575,False,False,True,False,True,False,False,False,6.030004786247354618341538674,0.00007017248396558741386327593223,0E-572
6.000,0.007017,0.03014,True,False,True,False,True,False,False,False,5.999854762316117818471230372,0.00007017248396558741386327593223,0.03014367816091954085737641136
6.844,0.1235,0E-610,False,True,True,False,True,False,False,False,6.843719597944160539710055593,0.001235035717794338483993656408,0E-607
6.810,0.1235,0.03409,True,True,True,False,True,False,False,False,6.809500999954439706619285027,0.001235035717794338483993656408,0.03409228243021346540591150909
6.898,0.01403,0E-603,False,False,True,True,True,False,False,False,6.897812685650293939745273191,0.0001403449679311748277265518645,0E-600
6.863,0.01403,0.03447,True,False,True,True,True,False,False,False,6.863323622222042439414104973,0.0001403449679311748277265518645,0.03447454844006568216263749185
7.881,0.2469,0E-610,False,True,True,True,True,False,False,False,7.881073946844869593675814539,0.002468724123896537689641137918,0E-607
7.842,0.2469,0.03912,True,True,True,True,True,False,False,False,7.841668577110645210708436446,0.002468724123896537689641137918,0.03911567232256887510727072472
5.156,0.002973,0E-576,False,False,False,False,True,True,False,False,5.155974921208195240024064603,0.00002973073670195850438699449331,0E-573
5.130,0.002973,0.02578,True,False,False,False,True,True,False,False,5.130195046602154240926815994,0.00002973073670195850438699449331,0.02577757544711567753733805538
5.791,0.03974,0E-580,False,True,False,False,True,True,False,False,5.790812263899237399729017570,0.0003973679501374691645714743358,0E-577
5.762,0.03974,0.02892,True,True,False,False,True,True,False,False,5.761858202579741187014000055,0.0003973679501374691645714743358,0.02891958616947122754450113082
6.017,0.005946,0E-576,False,False,True,False,True,True,False,False,6.016668923136528254018765734,0.00005946147340391700877398898664,0E-573
5.987,0.005946,0.03008,True,False,True,False,True,True,False,False,5.986585578520845586029294427,0.00005946147340391700877398898664,0.03007797917280675963977928435
6.792,0.07947,0E-607,False,True,True,False,True,True,False,False,6.792417076351643685250763676,0.0007947359002749383291429486714,0E-604
6.758,0.07947,0.03388,True,True,True,False,True,True,False,False,6.758454990969885436660118532,0.0007947359002749383291429486714,0.03388130531271764101717716830
6.882,0.01189,0E-606,False,False,True,True,True,True,False,False,6.881925630319344253562218342,0.0001189229468078340175479779733,0E-603
6.848,0.01189,0.03440,True,False,True,True,True,True,False,False,6.847516002167747501732518097,0.0001189229468078340175479779733,0.03439735624669495452037128318
7.809,0.1588,0E-611,False,True,True,True,True,True,False,False,7.809422760216400843402440990,0.001588336463549483889244264559,0E-608
7.770,0.1588,0.03886,True,True,True,True,True,True,False,False,7.770375646415318804504624955,0.001588336463549483889244264559,0.03886193630962784630737213588
10.03,0.1095,0E-545,False,True,False,False,False,False,True,False,10.03284072249589490968801314,0.001094690749863163656267104543,0E-542
9.983,0.1095,0.05000,True,True,False,False,False,False,True,False,9.982676518883415390584809981,0.001094690749863163656267104543,0.05000000000000000104083408557
10.07,0.1095,0E-545,False,True,True,False,False,False,True,False,10.06578929629719505717467328,0.001094690749863163656267104543,0E-542
10.02,0.1095,0.05000,True,True,True,False,False,False,True,False,10.01546034981570903718771576,0.001094690749863163656267104543,0.05000000000000000104083408557
10.93,0.2147,0E-574,False,True,True,True,False,False,True,False,10.93204061099423762919601208,0.002147278009346974864216243527,0E-571
